Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined,Avg_Item_Outlet_Sales,category_by_sales,Outlet
453,18.25,0,0.06595278,Starchy Foods,164.7526,OUT045,11,2,1,1,2404,1,1306.324351,0,7
394,7.855,0,0.011324862,Canned,189.6188,OUT017,6,2,1,1,1049,1,1332.243074,0,2
1552,7.825,1,0.186357148,Household,254.3698,OUT049,14,1,0,1,2776,2,1327.838316,0,9
254,8.39,2,0.024205661,Frozen Foods,114.0176,OUT046,16,2,0,1,1053,1,1280.318926,1,8
781,12.85,0,0.033230816,Snack Foods,172.3422,OUT049,14,1,0,1,190,1,1373.949767,0,9
682,13.93290191,0,0.113720344,Baking Goods,89.9804,OUT019,28,2,0,0,3015,1,1165.308787,1,4
582,19,0,0.112556507,Frozen Foods,104.9622,OUT017,6,2,1,1,506,1,1280.318926,1,2
1037,5.905,0,0.06595278,Canned,222.5456,OUT045,11,2,1,1,2680,1,1332.243074,0,7
316,7.76,0,0.059352241,Snack Foods,101.87,OUT046,16,2,0,1,595,1,1373.949767,0,8
656,11.8,2,0.014087057,Frozen Foods,180.3344,OUT046,16,2,0,1,376,1,1280.318926,1,8
1053,16.75,0,0.045230944,Snack Foods,187.9556,OUT018,4,1,2,2,2437,1,1373.949767,0,3
1379,18.05858931,1,0.293417759,Household,194.6136,OUT019,28,2,0,0,2853,2,1327.838316,0,4
829,12.07038502,2,0.031382044,Baking Goods,171.3764,OUT027,28,1,2,3,1596,1,1165.308787,1,5
404,15.5,2,0.12639886,Fruits and Vegetables,177.0028,OUT017,6,2,1,1,1189,1,1400.923903,0,2
1258,6.055,0,0.025403898,Fruits and Vegetables,160.992,OUT035,9,2,1,1,1350,1,1400.923903,0,6
811,20.08910944,2,0.039057677,Breakfast,155.963,OUT027,28,1,2,3,1722,1,1248.919095,1,5
674,6.305,2,0.123115764,Snack Foods,95.6436,OUT046,16,2,0,1,3051,1,1373.949767,0,8
670,20.85,0,0.039624006,Meat,117.2808,OUT049,14,1,0,1,451,1,1246.692408,1,9
1082,20.75,0,0.040421193,Fruits and Vegetables,122.173,OUT010,15,1,2,0,1950,1,1400.923903,0,0
57,8.895,0,0.105274111,Dairy,39.9138,OUT049,14,1,0,1,3110,0,1340.311665,0,9
82,19.6,0,0.033970195,Soft Drinks,55.1614,OUT045,11,1,1,1,343,0,1229.886669,1,7
178,19.7,0,0.053212652,Fruits and Vegetables,57.893,OUT035,9,2,1,1,2965,1,1400.923903,0,6
1468,9.8,1,0.024378706,Health and Hygiene,114.5492,OUT035,9,2,1,1,250,2,1218.181979,1,6
970,8.151798319,0,0.009714595,Frozen Foods,120.0414,OUT019,28,2,0,0,2515,1,1280.318926,1,4
382,12.15,0,0.131383762,Frozen Foods,246.046,OUT049,14,1,0,1,213,1,1280.318926,1,9
231,8.75,2,0.07461309,Fruits and Vegetables,187.4556,OUT035,9,2,1,1,1988,1,1400.923903,0,6
1442,12.07038502,1,0.028459761,Household,149.9708,OUT027,28,1,2,3,2283,2,1327.838316,0,5
231,8.75,2,0.074627201,Fruits and Vegetables,187.8556,OUT046,16,2,0,1,289,1,1400.923903,0,8
940,13.3,0,0.063695084,Frozen Foods,151.0708,OUT045,11,2,1,1,676,1,1280.318926,1,7
284,20.08910944,2,0.045797829,Snack Foods,178.5344,OUT027,28,1,2,3,1441,1,1373.949767,0,5
1113,8.31,2,0.115857223,Snack Foods,179.1028,OUT049,14,1,0,1,2058,1,1373.949767,0,9
7,16.75,2,0.024832806,Soft Drinks,38.7822,OUT013,26,0,2,1,3065,0,1229.886669,1,1
737,19.75,0,0.034027909,Snack Foods,212.0902,OUT018,4,1,2,2,1656,1,1373.949767,0,3
438,17.1,2,0.0467696,Canned,141.1838,OUT013,26,0,2,1,1019,1,1332.243074,0,1
181,10.5,2,0.116576702,Baking Goods,163.121,OUT013,26,0,2,1,669,1,1165.308787,1,1
400,6.635,2,0.06595278,Baking Goods,121.3098,OUT045,11,2,1,1,1224,1,1165.308787,1,7
36,10.03119577,0,0.278974075,Soft Drinks,225.372,OUT019,28,2,0,0,3088,0,1229.886669,1,4
111,14.15,0,0.035913805,Soft Drinks,41.4138,OUT013,26,0,2,1,3300,0,1229.886669,1,1
279,13.3,0,0.079806266,Dairy,232.53,OUT046,16,2,0,1,3125,1,1340.311665,0,8
910,8.89,0,0.005505481,Frozen Foods,102.4016,OUT017,6,2,1,1,1359,1,1280.318926,1,2
1099,6.12748296,2,0.064625342,Meat,176.937,OUT019,28,2,0,0,642,1,1246.692408,1,4
1144,6.12748296,0,0.071636937,Snack Foods,121.7098,OUT027,28,1,2,3,2157,1,1373.949767,0,5
1025,9.1,2,0.06595278,Breads,173.2054,OUT045,11,2,1,1,1635,1,1329.897088,0,7
288,7.5,0,0.032677678,Frozen Foods,239.0906,OUT049,14,1,0,1,2889,1,1280.318926,1,9
1228,16.85,2,0.160760054,Frozen Foods,192.4478,OUT017,6,2,1,1,2500,1,1280.318926,1,2
1251,7.485,0,0.06911065,Snack Foods,109.0228,OUT035,9,2,1,1,1231,1,1373.949767,0,6
0,11.6,0,0.041177505,Soft Drinks,140.3154,OUT017,6,2,1,1,1240,0,1229.886669,1,2
1213,11.65,0,0.040081193,Snack Foods,227.0694,OUT018,4,1,2,2,130,1,1373.949767,0,3
1317,13,1,0.035307322,Household,47.5034,OUT017,6,2,1,1,3091,2,1327.838316,0,2
91,12.65,0,0.063017847,Soft Drinks,159.0578,OUT045,11,2,1,1,903,0,1229.886669,1,7
200,20.25,2,0.171938781,Canned,92.512,OUT010,15,1,2,0,721,1,1332.243074,0,0
528,8.6,2,0.040197932,Canned,190.153,OUT035,9,2,1,1,1563,1,1332.243074,0,6
1075,12.6,0,0.049058014,Breads,62.7194,OUT017,6,2,1,1,3359,1,1329.897088,0,2
605,17.7,0,0.01161096,Frozen Foods,95.041,OUT035,9,2,1,1,3360,1,1280.318926,1,6
86,14.15,0,0.183507295,Soft Drinks,82.4276,OUT046,16,2,0,1,125,0,1229.886669,1,8
1048,19.25,0,0.102349519,Dairy,52.7956,OUT017,6,2,1,1,3422,1,1340.311665,0,2
55,8.88,0,0.086708987,Hard Drinks,151.7682,OUT013,26,0,2,1,3234,0,1264.622727,1,1
1444,20.5,1,0.032835147,Household,40.2822,OUT045,11,2,1,1,3136,2,1327.838316,0,7
1186,12.07038502,0,0.033809913,Canned,180.5976,OUT027,28,1,2,3,3284,1,1332.243074,0,5
1340,13.5,1,0.07266912,Household,160.292,OUT046,16,2,0,1,384,2,1327.838316,0,8
1476,12.07038502,1,0.144338493,Health and Hygiene,224.4404,OUT027,28,1,2,3,3124,2,1218.181979,1,5
910,8.89,0,0.009163216,Frozen Foods,101.7016,OUT010,15,1,2,0,7,1,1280.318926,1,0
394,7.855,0,0.011307038,Canned,188.5188,OUT018,4,1,2,2,3447,1,1332.243074,0,3
1428,7.235,1,0.076855628,Household,116.0492,OUT046,16,2,0,1,808,2,1327.838316,0,8
453,18.05858931,0,0.059956876,Starchy Foods,165.4526,OUT027,28,1,2,3,2658,1,1306.324351,0,5
228,6.92,0,0.038532062,Dairy,60.5852,OUT045,11,2,1,1,289,1,1340.311665,0,7
1152,9.3,0,0.043209581,Fruits and Vegetables,90.8172,OUT017,6,2,1,1,2698,1,1400.923903,0,2
1407,18.5,1,0.056816465,Others,132.1284,OUT010,15,1,2,0,1292,2,1162.562891,1,0
1289,8.02,1,0.019866705,Household,154.5972,OUT035,9,2,1,1,357,2,1327.838316,0,6
1538,9.195,1,0.048331717,Household,105.1622,OUT017,6,2,1,1,591,2,1327.838316,0,2
1436,12.8,1,0.091221855,Others,105.5938,OUT045,11,2,1,1,948,2,1162.562891,1,7
1288,16.6,1,0.027622076,Household,177.6344,OUT049,14,1,0,1,1321,2,1327.838316,0,9
479,14,2,0.06595278,Frozen Foods,53.064,OUT035,9,2,1,1,3399,1,1280.318926,1,6
743,18.6,0,0.039355947,Frozen Foods,246.3802,OUT049,14,1,0,1,3193,1,1280.318926,1,9
198,16,0,0.060836524,Starchy Foods,226.8404,OUT035,9,2,1,1,2981,1,1306.324351,0,6
1274,17.6,1,0.082316506,Health and Hygiene,160.692,OUT035,9,2,1,1,513,2,1218.181979,1,6
179,21.25,0,0.155350299,Snack Foods,178.237,OUT035,9,2,1,1,2671,1,1373.949767,0,6
1428,7.235,1,0.076841095,Household,117.5492,OUT035,9,2,1,1,808,2,1327.838316,0,6
94,14.6,0,0.151419185,Soft Drinks,50.3692,OUT017,6,2,1,1,35,0,1229.886669,1,2
843,13.85,2,0.026001976,Frozen Foods,161.521,OUT018,4,1,2,2,669,1,1280.318926,1,3
470,13.65,2,0.073209447,Frozen Foods,197.6426,OUT018,4,1,2,2,1381,1,1280.318926,1,3
104,10.03119577,0,0.041683481,Soft Drinks,31.29,OUT027,28,1,2,3,3393,0,1229.886669,1,5
1132,7.365,0,0.042560252,Fruits and Vegetables,226.172,OUT046,16,2,0,1,1645,1,1400.923903,0,8
1344,18.35,1,0.014081156,Household,223.5746,OUT018,4,1,2,2,1901,2,1327.838316,0,3
216,5.465,2,0.06595278,Baking Goods,132.5626,OUT018,4,1,2,2,1284,1,1165.308787,1,3
661,18.6,0,0.152918384,Breakfast,99.8358,OUT017,6,2,1,1,760,1,1248.919095,1,2
20,13.85,0,0.030969274,Soft Drinks,140.9154,OUT017,6,2,1,1,597,0,1229.886669,1,2
797,14,2,0.060376776,Frozen Foods,154.5656,OUT013,26,0,2,1,1184,1,1280.318926,1,1
631,14,2,0.04192285,Snack Foods,54.764,OUT013,26,0,2,1,304,1,1373.949767,0,1
824,20.08910944,0,0.077367431,Fruits and Vegetables,97.0094,OUT027,28,1,2,3,679,1,1400.923903,0,5
1037,5.905,0,0.045838211,Canned,222.5456,OUT018,4,1,2,2,1741,1,1332.243074,0,3
47,7.27,0,0.071077939,Soft Drinks,114.2518,OUT046,16,2,0,1,1282,0,1229.886669,1,8
1109,6.155,2,0.094659871,Meat,214.556,OUT046,16,2,0,1,1382,1,1246.692408,1,8
113,19.5,2,0.077608838,Soft Drinks,233.4958,OUT017,6,2,1,1,2708,0,1229.886669,1,2
750,15.2,0,0.021327477,Canned,216.8824,OUT017,6,2,1,1,1428,1,1332.243074,0,2
611,12.15,2,0.042485444,Canned,125.0046,OUT018,4,1,2,2,628,1,1332.243074,0,3
1278,13.93290191,1,0.025578526,Household,198.8084,OUT027,28,1,2,3,2769,2,1327.838316,0,5
1075,12.6,0,0.0489808,Breads,61.9194,OUT018,4,1,2,2,2955,1,1329.897088,0,3
1401,14.5,1,0.019471688,Others,164.821,OUT035,9,2,1,1,933,2,1162.562891,1,6
568,16.6,0,0.122918852,Fruits and Vegetables,173.0738,OUT017,6,2,1,1,2022,1,1400.923903,0,2
627,11.8,2,0.057373797,Meat,151.4366,OUT013,26,0,2,1,328,1,1246.692408,1,1
892,13.1,2,0.044155597,Fruits and Vegetables,178.8318,OUT013,26,0,2,1,2097,1,1400.923903,0,1
488,17.7,0,0.291865402,Fruits and Vegetables,115.1834,OUT010,15,1,2,0,1821,1,1400.923903,0,0
857,17.85,0,0.06595278,Breads,196.5794,OUT010,15,1,2,0,2858,1,1329.897088,0,0
215,12.3,2,0.064750025,Starchy Foods,92.6804,OUT045,11,2,1,1,9,1,1306.324351,0,7
1499,11.8,1,0.098312421,Health and Hygiene,81.4618,OUT010,15,1,2,0,526,2,1218.181979,1,0
142,10.03119577,2,0.191013663,Soft Drinks,42.1112,OUT019,28,2,0,0,2206,0,1229.886669,1,4
707,11.1,0,0.176573035,Baking Goods,157.4604,OUT045,11,2,1,1,1547,1,1165.308787,1,7
797,13.93290191,2,0.060134441,Frozen Foods,153.0656,OUT027,28,1,2,3,2914,1,1280.318926,1,5
1049,11.3,0,0.007294652,Meat,198.1426,OUT045,11,2,1,1,3483,1,1246.692408,1,7
1426,10.03119577,1,0.128478462,Health and Hygiene,117.944,OUT019,28,2,0,0,1121,2,1218.181979,1,4
1008,5.75,2,0.075107656,Dairy,112.8176,OUT013,26,0,2,1,337,1,1340.311665,0,1
926,6.12748296,2,0.049381406,Baking Goods,226.8062,OUT027,28,1,2,3,2455,1,1165.308787,1,5
578,11.35,2,0.045165796,Snack Foods,100.0016,OUT018,4,1,2,2,11,1,1373.949767,0,3
694,12.07038502,2,0.09415375,Fruits and Vegetables,165.7526,OUT019,28,2,0,0,3043,1,1400.923903,0,4
1523,14,1,0.028907832,Health and Hygiene,130.431,OUT049,14,1,0,1,3257,2,1218.181979,1,9
319,19.75,2,0.018059621,Frozen Foods,179.766,OUT045,11,2,1,1,1085,1,1280.318926,1,7
1277,6.525,1,0.090436094,Household,85.0882,OUT049,14,1,0,1,1009,2,1327.838316,0,9
1029,10.3,0,0.146399712,Meat,103.9648,OUT049,14,1,0,1,565,1,1246.692408,1,9
616,5.78,2,0.074264356,Snack Foods,264.7568,OUT049,14,1,0,1,2458,1,1373.949767,0,9
150,11.85,2,0.050186726,Fruits and Vegetables,164.1526,OUT045,11,2,1,1,1618,1,1400.923903,0,7
951,16.35,0,0.020631654,Fruits and Vegetables,50.1324,OUT018,4,1,2,2,2427,1,1400.923903,0,3
1530,18.05858931,1,0.01561108,Household,182.5976,OUT027,28,1,2,3,2595,2,1327.838316,0,5
932,10.5,0,0.041395445,Fruits and Vegetables,37.6164,OUT046,16,2,0,1,2717,1,1400.923903,0,8
221,19,2,0.097313129,Frozen Foods,48.0718,OUT046,16,2,0,1,3488,1,1280.318926,1,8
1420,14.6,1,0.059582996,Others,238.8538,OUT049,14,1,0,1,2908,2,1162.562891,1,9
343,15.9666819,2,0.098663652,Dairy,62.9194,OUT027,28,1,2,3,922,1,1340.311665,0,5
1157,6.12748296,2,0.101338651,Canned,232.63,OUT027,28,1,2,3,2704,1,1332.243074,0,5
1402,18.75,1,0.052146456,Health and Hygiene,104.628,OUT045,11,2,1,1,3203,2,1218.181979,1,7
340,5.26,2,0.041764487,Baking Goods,161.8868,OUT035,9,2,1,1,1712,1,1165.308787,1,6
688,18.25,0,0.054344186,Snack Foods,140.2154,OUT045,11,2,1,1,597,1,1373.949767,0,7
484,10.03119577,0,0.078362484,Baking Goods,177.937,OUT027,28,1,2,3,3071,1,1165.308787,1,5
480,15.1,0,0.052339069,Meat,242.7512,OUT046,16,2,0,1,2169,1,1246.692408,1,8
371,15.5,2,0.042464962,Baking Goods,81.5934,OUT010,15,1,2,0,1708,1,1165.308787,1,0
424,13.65,0,0.065732883,Frozen Foods,45.7402,OUT049,14,1,0,1,3260,1,1280.318926,1,9
44,16.1,0,0.023625114,Soft Drinks,189.3846,OUT045,11,2,1,1,1924,0,1229.886669,1,7
903,6.12748296,2,0.051643608,Snack Foods,107.3622,OUT019,28,2,0,0,1646,1,1373.949767,0,4
1150,12.85,0,0.165694219,Frozen Foods,39.7164,OUT010,15,1,2,0,1065,1,1280.318926,1,0
104,9.5,0,0.041878397,Soft Drinks,32.99,OUT035,9,2,1,1,301,0,1229.886669,1,6
13,13.8,0,0.058091482,Dairy,245.1802,OUT035,9,2,1,1,2798,0,1340.311665,0,6
616,5.78,2,0.06595278,Snack Foods,263.7568,OUT017,6,2,1,1,1295,1,1373.949767,0,2
1298,19.7,1,0.026903714,Household,96.0726,OUT045,11,2,1,1,249,2,1327.838316,0,7
1558,14.65,1,0.06595278,Household,161.5552,OUT010,15,1,2,0,1689,2,1327.838316,0,0
323,6.67,2,0.150554711,Snack Foods,130.0626,OUT010,15,1,2,0,282,1,1373.949767,0,0
854,6.11,2,0.06595278,Fruits and Vegetables,131.2968,OUT010,15,1,2,0,1272,1,1400.923903,0,0
753,13.65,2,0.134975628,Frozen Foods,260.0936,OUT010,15,1,2,0,1272,1,1280.318926,1,0
1129,17.2,0,0.15616879,Meat,160.6578,OUT013,26,0,2,1,1951,1,1246.692408,1,1
175,6.32,0,0.06595278,Meat,40.2822,OUT035,9,2,1,1,127,1,1246.692408,1,6
1185,4.88,2,0.133700752,Baking Goods,52.9298,OUT049,14,1,0,1,831,1,1165.308787,1,9
277,5.425,2,0.115119905,Baking Goods,88.3514,OUT017,6,2,1,1,370,1,1165.308787,1,2
448,15.85,2,0.110030997,Frozen Foods,37.2506,OUT046,16,2,0,1,1307,1,1280.318926,1,8
937,7.5,0,0.051038045,Canned,121.7072,OUT017,6,2,1,1,1876,1,1332.243074,0,2
91,12.65,0,0.062837968,Soft Drinks,161.5578,OUT013,26,0,2,1,1134,0,1229.886669,1,1
1424,8.151798319,1,0.017116983,Others,211.956,OUT019,28,2,0,0,938,2,1162.562891,1,4
1082,20.75,0,0.024129332,Fruits and Vegetables,124.173,OUT013,26,0,2,1,1513,1,1400.923903,0,1
43,8.151798319,0,0.049754975,Dairy,152.134,OUT019,28,2,0,0,457,0,1340.311665,0,4
907,9,0,0.06595278,Canned,79.7644,OUT035,9,2,1,1,553,1,1332.243074,0,6
1137,15.9666819,0,0.101561568,Canned,181.9292,OUT027,28,1,2,3,1602,1,1332.243074,0,5
1536,6.12748296,1,0.005949644,Household,165.6526,OUT027,28,1,2,3,2468,2,1327.838316,0,5
413,6.12748296,2,0.13956116,Seafood,170.4764,OUT027,28,1,2,3,1814,1,1672.676622,0,5
614,14.1,0,0.126035694,Fruits and Vegetables,86.4198,OUT045,11,2,1,1,122,1,1400.923903,0,7
365,7.55,0,0.027164679,Canned,152.334,OUT035,9,2,1,1,1274,1,1332.243074,0,6
1294,13,1,0.099325278,Household,45.406,OUT046,16,2,0,1,2924,2,1327.838316,0,8
126,10.03119577,0,0.04357366,Hard Drinks,192.8846,OUT027,28,1,2,3,1056,0,1264.622727,1,5
904,18.05858931,2,0.082741482,Snack Foods,118.7782,OUT019,28,2,0,0,175,1,1373.949767,0,4
215,12.3,2,0.064565202,Starchy Foods,92.9804,OUT013,26,0,2,1,774,1,1306.324351,0,1
1133,6.12748296,0,0.084554569,Snack Foods,109.8912,OUT027,28,1,2,3,895,1,1373.949767,0,5
1499,12.07038502,1,0.058451805,Health and Hygiene,79.9618,OUT027,28,1,2,3,1139,2,1218.181979,1,5
1472,17.25,1,0.113748685,Household,251.3724,OUT045,11,2,1,1,3089,2,1327.838316,0,7
1469,15.85,1,0.020603511,Household,42.7112,OUT017,6,2,1,1,3004,2,1327.838316,0,2
1505,18.85,1,0.052044976,Health and Hygiene,192.1846,OUT035,9,2,1,1,1693,2,1218.181979,1,6
1211,16.35,2,0.062764429,Fruits and Vegetables,227.6062,OUT017,6,2,1,1,3172,1,1400.923903,0,2
100,14.1,0,0.087977262,Dairy,229.0668,OUT035,9,2,1,1,1681,0,1340.311665,0,6
553,7.905,0,0.010010425,Snack Foods,249.0408,OUT035,9,2,1,1,1988,1,1373.949767,0,6
1186,12,0,0.033946163,Canned,179.3976,OUT013,26,0,2,1,1818,1,1332.243074,0,1
1002,12.15,2,0.058414678,Fruits and Vegetables,163.4552,OUT035,9,2,1,1,3469,1,1400.923903,0,6
606,10.1,0,0.027106459,Meat,75.367,OUT049,14,1,0,1,2699,1,1246.692408,1,9
359,17.5,0,0.027022883,Frozen Foods,262.491,OUT017,6,2,1,1,2657,1,1280.318926,1,2
40,18.05858931,0,0.058153409,Dairy,152.034,OUT019,28,2,0,0,1575,0,1340.311665,0,4
591,17.1,0,0.128937661,Fruits and Vegetables,112.3886,OUT018,4,1,2,2,657,1,1400.923903,0,3
1042,7.785,0,0.088846306,Fruits and Vegetables,61.451,OUT049,14,1,0,1,3228,1,1400.923903,0,9
526,11.8,2,0.09357779,Snack Foods,125.9704,OUT013,26,0,2,1,733,1,1373.949767,0,1
