,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Type_Combined,Avg_Item_Outlet_Sales,category_by_sales,Item_Outlet_Sales
8585,FDL51,20.7,Regular,0.047760002,Dairy,214.9876,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1340.311665,High_Sales_Item_Type,3362.054435
8586,NCY42,6.12748296,Non-Edible,0.015089147,Household,141.347,OUT027,28,Medium,Tier 3,Supermarket Type3,Non-Consumable,1327.838316,High_Sales_Item_Type,2757.663164
8587,FDR07,21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,1715.958937
8588,FDN40,5.88,Low Fat,0.086632125,Frozen Foods,152.6998,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1280.318926,Low_Sales_Item_Type,2193.345665
8589,FDB35,12.07038502,Regular,0.064306056,Starchy Foods,90.3804,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1306.324351,High_Sales_Item_Type,2668.185412
8590,FDA22,7.435,Low Fat,0.08493006,Starchy Foods,165.8158,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1306.324351,High_Sales_Item_Type,2470.951733
8591,NCL06,14.65,Non-Edible,0.072066634,Household,262.5594,OUT046,16,Small,Tier 1,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,3709.745231
8592,FDI35,14,Low Fat,0.041256807,Starchy Foods,181.2634,OUT013,26,High,Tier 3,Supermarket Type1,Food,1306.324351,High_Sales_Item_Type,4024.455201
8593,NCW42,18.2,Non-Edible,0.058587558,Household,221.6456,OUT045,11,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,3720.591019
8594,NCX06,17.6,Non-Edible,0.015711434,Household,180.0976,OUT049,14,Medium,Tier 1,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,3287.549989
8595,FDC37,15.9666819,Low Fat,0.032714163,Baking Goods,108.1938,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1165.308787,Low_Sales_Item_Type,2492.508101
8596,FDZ14,7.71,Regular,0.047782552,Dairy,122.3756,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1340.311665,High_Sales_Item_Type,1900.041597
8597,DRG49,7.81,Low Fat,0.067560171,Soft Drinks,245.2486,OUT049,14,Medium,Tier 1,Supermarket Type1,Drinks,1229.886669,Low_Sales_Item_Type,4858.911826
8598,NCG06,16.35,Non-Edible,0.029505077,Household,256.2646,OUT045,11,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,3588.744095
8599,DRC36,13,Regular,0.045076104,Soft Drinks,173.7054,OUT045,11,Small,Tier 2,Supermarket Type1,Drinks,1229.886669,Low_Sales_Item_Type,2705.961628
8600,FDV21,12.07038502,Low Fat,0.299544153,Snack Foods,124.8704,OUT019,28,Small,Tier 1,Grocery Store,Food,1373.949767,High_Sales_Item_Type,410.3837924
8601,FDB53,13.35,Low Fat,0.139452413,Frozen Foods,148.6392,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1280.318926,Low_Sales_Item_Type,3061.078677
8602,DRP47,15.9666819,Low Fat,0.246178257,Hard Drinks,252.4382,OUT019,28,Small,Tier 1,Grocery Store,Drinks,1264.622727,Low_Sales_Item_Type,542.6706136
8603,FDA14,16.1,Low Fat,0.065128984,Dairy,145.176,OUT013,26,High,Tier 3,Supermarket Type1,Food,1340.311665,High_Sales_Item_Type,2395.841285
8604,DRC24,17.85,Low Fat,0.024816585,Soft Drinks,152.6998,OUT035,9,Small,Tier 2,Supermarket Type1,Drinks,1229.886669,Low_Sales_Item_Type,2743.247531
8605,FDW21,5.34,Regular,0.005988175,Snack Foods,100.6358,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1373.949767,High_Sales_Item_Type,1496.222772
8606,NCH29,5.51,Non-Edible,0.034473804,Health and Hygiene,97.3726,OUT046,16,Small,Tier 1,Supermarket Type1,Non-Consumable,1218.181979,Low_Sales_Item_Type,2024.622058
8607,FDU58,6.61,Regular,0.028987582,Snack Foods,188.6898,OUT013,26,High,Tier 3,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,3191.423833
8608,FDY27,6.38,Low Fat,0.032078604,Dairy,177.6344,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1340.311665,High_Sales_Item_Type,2554.205623
8609,FDV56,16.1,Regular,0.013593151,Fruits and Vegetables,108.9596,OUT035,9,Small,Tier 2,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,1752.707843
8610,FDT59,13.65,Low Fat,0.015911432,Breads,230.5668,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1329.897088,High_Sales_Item_Type,3913.472211
8611,FDB23,19.2,Regular,0.005588601,Starchy Foods,225.5062,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1306.324351,High_Sales_Item_Type,3209.68276
8612,FDR49,8.71,Low Fat,0.139510771,Canned,46.2376,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1332.243074,High_Sales_Item_Type,745.1056113
8613,FDB03,17.75,Regular,0.262504325,Dairy,242.2538,OUT010,15,Small,Tier 3,Grocery Store,Food,1340.311665,High_Sales_Item_Type,624.4273326
8614,FDN39,19.35,Regular,0.06595278,Meat,165.7816,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1246.692408,Low_Sales_Item_Type,2692.681602
8615,FDX02,15.9666819,Low Fat,0.056783774,Dairy,223.1404,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1340.311665,High_Sales_Item_Type,5506.059715
8616,FDQ16,20.08910944,Low Fat,0.041536279,Frozen Foods,107.7912,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1280.318926,Low_Sales_Item_Type,2895.03441
8617,FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1329.897088,High_Sales_Item_Type,1491.745878
8618,NCT29,12.6,Non-Edible,0.064057374,Health and Hygiene,122.1414,OUT013,26,High,Tier 3,Supermarket Type1,Non-Consumable,1218.181979,Low_Sales_Item_Type,1771.844946
8619,FDZ27,7.935,Low Fat,0.017156262,Dairy,48.135,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1340.311665,High_Sales_Item_Type,769.0408176
8620,FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.4154,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,2627.918753
8621,FDA03,18.5,Regular,0.045648973,Dairy,145.6102,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1340.311665,High_Sales_Item_Type,2022.427902
8622,FDZ36,6.035,Regular,0.065917194,Baking Goods,185.724,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,3184.642579
8623,NCU05,11.8,Non-Edible,0.058687359,Health and Hygiene,81.1618,OUT013,26,High,Tier 3,Supermarket Type1,Non-Consumable,1218.181979,Low_Sales_Item_Type,1194.704835
8624,FDT39,6.26,Regular,0.009908113,Meat,151.1366,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1246.692408,Low_Sales_Item_Type,2225.058195
8625,FDK60,16.5,Regular,0.094395215,Baking Goods,97.2068,OUT017,6,Medium,Tier 2,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,1652.699141
8626,FDZ25,15.7,Regular,0.02777326,Canned,169.279,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1332.243074,High_Sales_Item_Type,3025.208318
8627,FDG12,6.635,Regular,0.006326106,Baking Goods,122.1098,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,2440.345115
8628,DRB01,8.151798319,Low Fat,0.143990546,Soft Drinks,191.553,OUT019,28,Small,Tier 1,Grocery Store,Drinks,1229.886669,Low_Sales_Item_Type,456.3817033
8629,NCC43,8.151798319,Non-Edible,0.09233359,Household,250.6066,OUT027,28,Medium,Tier 3,Supermarket Type3,Non-Consumable,1327.838316,High_Sales_Item_Type,5574.321874
8630,FDX13,8.151798319,Low Fat,0.083661793,Canned,248.6092,OUT019,28,Small,Tier 1,Grocery Store,Food,1332.243074,High_Sales_Item_Type,528.9859237
8631,FDM22,14,Regular,0.042022999,Snack Foods,53.064,OUT049,14,Medium,Tier 1,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,889.2535703
8632,FDJ03,12.07038502,Regular,0.072044336,Dairy,48.8692,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1340.311665,High_Sales_Item_Type,1430.335478
8633,FDU14,17.75,Low Fat,0.06595278,Dairy,249.775,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1340.311665,High_Sales_Item_Type,3596.308647
8634,FDB33,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,OUT010,15,Medium,Tier 3,Grocery Store,Food,1400.923903,High_Sales_Item_Type,434.8476826
8635,FDP27,8.155,Low Fat,0.119450639,Meat,190.653,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1246.692408,Low_Sales_Item_Type,3569.177935
8636,FDO38,17.25,Low Fat,0.121917641,Canned,76.6986,OUT010,15,High,Tier 3,Grocery Store,Food,1332.243074,High_Sales_Item_Type,159.0728462
8637,FDE28,10.03119577,Regular,0.131905128,Frozen Foods,232.0668,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1280.318926,Low_Sales_Item_Type,6105.591222
8638,FDO27,6.175,Regular,0.179043614,Meat,95.3752,OUT035,9,Small,Tier 2,Supermarket Type1,Food,1246.692408,Low_Sales_Item_Type,1573.140983
8639,DRL23,18.05858931,Low Fat,0.0152302,Hard Drinks,107.0938,OUT027,28,Medium,Tier 3,Supermarket Type3,Drinks,1264.622727,Low_Sales_Item_Type,2406.967034
8640,FDS28,8.18,Regular,0.082401592,Frozen Foods,55.9588,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1280.318926,Low_Sales_Item_Type,941.7326978
8641,FDX24,8.355,Low Fat,0.013917468,Baking Goods,92.5462,OUT013,26,High,Tier 3,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,1272.829752
8642,FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,9,Small,Tier 2,Supermarket Type1,Food,1340.311665,High_Sales_Item_Type,1375.404771
8643,FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,11,Medium,Tier 2,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,1695.876834
8644,FDS60,20.08910944,Low Fat,0.03229139,Baking Goods,178.766,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1165.308787,Low_Sales_Item_Type,4850.102302
8645,NCO06,19.25,Non-Edible,0.108641498,Household,33.0558,OUT017,6,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,571.8836671
8646,FDO16,5.48,Low Fat,0.015105338,Frozen Foods,84.625,OUT035,9,Small,Tier 2,Supermarket Type1,Food,1280.318926,Low_Sales_Item_Type,1676.505958
8647,FDC60,5.425,Regular,0.114650377,Baking Goods,87.3514,OUT049,14,Medium,Tier 1,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,1741.700233
8648,FDA48,12.1,Low Fat,0.115342009,Baking Goods,220.2114,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1165.308787,Low_Sales_Item_Type,4208.253468
8649,FDZ36,6.12748296,Regular,0.06595278,Baking Goods,186.424,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1165.308787,Low_Sales_Item_Type,4811.875989
8650,FDK27,11,Low Fat,0.00896468,Meat,120.6756,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1246.692408,Low_Sales_Item_Type,1771.342003
8651,FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.8164,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1165.308787,Low_Sales_Item_Type,608.6034541
8652,FDM14,13.8,Low Fat,0.013318,Canned,110.1254,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1332.243074,High_Sales_Item_Type,1660.325269
8653,FDM14,13.8,Low Fat,0.01325293,Canned,108.2254,OUT013,26,High,Tier 3,Supermarket Type1,Food,1332.243074,High_Sales_Item_Type,1553.599145
8654,FDW60,5.44,Regular,0.017131453,Baking Goods,177.837,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1165.308787,Low_Sales_Item_Type,2507.36877
8655,FDE21,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,OUT013,26,High,Tier 3,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,1906.974332
8656,NCM42,6.13,Non-Edible,0.028316137,Household,109.3912,OUT035,9,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,1825.939238
8657,FDY59,8.195,Low Fat,0.052562923,Baking Goods,93.9462,OUT010,15,Medium,Tier 3,Grocery Store,Food,1165.308787,Low_Sales_Item_Type,186.430184
8658,DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.3276,OUT049,14,Medium,Tier 1,Supermarket Type1,Drinks,1229.886669,Low_Sales_Item_Type,1406.957272
8659,FDT28,13.93290191,Low Fat,0.111296158,Frozen Foods,151.2708,OUT019,28,Small,Tier 1,Grocery Store,Food,1280.318926,Low_Sales_Item_Type,256.9413387
8660,FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1373.949767,High_Sales_Item_Type,463.2899248
8661,FDR60,14.3,Low Fat,0.130617879,Baking Goods,76.5328,OUT049,14,Medium,Tier 1,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,1063.249016
8662,FDC50,15.9666819,Low Fat,0.238990225,Canned,94.7094,OUT019,28,Small,Tier 1,Grocery Store,Food,1332.243074,High_Sales_Item_Type,302.6377129
8663,FDV24,5.635,Low Fat,0.103186396,Baking Goods,151.805,OUT013,26,High,Tier 3,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,2431.641803
8664,DRF48,5.73,Low Fat,0.06595278,Soft Drinks,188.3898,OUT010,15,Medium,Tier 3,Grocery Store,Drinks,1229.886669,Low_Sales_Item_Type,542.276464
8665,FDQ47,7.155,Regular,0.168186376,Breads,36.5874,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1329.897088,High_Sales_Item_Type,708.8028571
8666,DRN36,15.2,Low Fat,0.050255855,Soft Drinks,97.3752,OUT049,14,Medium,Tier 1,Supermarket Type1,Drinks,1229.886669,Low_Sales_Item_Type,1594.095381
8667,NCY06,15.25,Non-Edible,0.061173235,Household,128.5968,OUT035,9,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,2141.947599
8668,FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,9,Small,Tier 2,Supermarket Type1,Food,1340.311665,High_Sales_Item_Type,1552.758996
8669,NCB54,8.76,Non-Edible,0.050154219,Health and Hygiene,126.9336,OUT045,11,Small,Tier 2,Supermarket Type1,Non-Consumable,1218.181979,Low_Sales_Item_Type,1685.510554
8670,NCF31,9.13,Non-Edible,0.051837621,Household,152.6024,OUT035,9,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,2484.739555
8671,FDJ08,12.07038502,Low Fat,0.11013617,Fruits and Vegetables,189.7846,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1400.923903,High_Sales_Item_Type,5475.585181
8672,NCC07,19.6,Non-Edible,0.024086626,Household,106.0964,OUT017,6,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,1707.918309
8673,NCD19,8.151798319,Non-Edible,0.013115567,Household,53.7614,OUT027,28,Medium,Tier 3,Supermarket Type3,Non-Consumable,1327.838316,High_Sales_Item_Type,1688.897563
8674,FDL46,20.35,Low Fat,0.06595278,Snack Foods,118.9466,OUT049,14,Medium,Tier 1,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,1850.27664
8675,FDM20,10,Low Fat,0.038764258,Fruits and Vegetables,246.2144,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,3801.179047
8676,NCI06,11.3,Non-Edible,0.07986963,Household,180.466,OUT010,15,Medium,Tier 3,Grocery Store,Non-Consumable,1327.838316,High_Sales_Item_Type,445.6359577
8677,DRM11,6.57,Low Fat,0.066057085,Hard Drinks,259.3278,OUT035,9,Small,Tier 2,Supermarket Type1,Drinks,1264.622727,Low_Sales_Item_Type,4310.145383
