,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined,Avg_Item_Outlet_Sales,category_by_sales,Outlet
16,1280,11.8,1,0.008596051,Health and Hygiene,115.3492,OUT018,4,1,2,2,536,2,1218.181979,1,3
17,767,9.0,2,0.06919637599999999,Breakfast,54.3614,OUT049,14,1,0,1,3164,1,1248.919095,1,9
18,79,8.151798319,0,0.034237682,Hard Drinks,113.2834,OUT027,28,1,2,3,1062,0,1264.622727,1,5
19,968,13.35,0,0.10249212,Dairy,230.5352,OUT035,9,2,1,1,1369,1,1340.311665,0,6
20,666,18.85,2,0.138190277,Snack Foods,250.8724,OUT013,26,0,2,1,1999,1,1373.949767,0,1
21,1076,8.151798319,2,0.035399923,Baking Goods,144.5444,OUT027,28,1,2,3,2143,1,1165.308787,1,5
22,1278,14.6,1,0.025698133999999997,Household,196.5084,OUT035,9,2,1,1,505,2,1327.838316,0,6
23,259,15.966681900000001,0,0.057556998,Baking Goods,107.6938,OUT019,28,2,0,0,945,1,1165.308787,1,4
24,843,13.85,2,0.025896485,Frozen Foods,165.021,OUT046,16,2,0,1,2150,1,1280.318926,1,8
25,1294,13.0,1,0.099887103,Household,45.906000000000006,OUT017,6,2,1,1,3330,2,1327.838316,0,2
26,1024,7.645,2,0.06669343700000001,Snack Foods,42.3112,OUT035,9,2,1,1,63,1,1373.949767,0,6
27,101,11.65,0,0.019356131999999998,Hard Drinks,39.1164,OUT013,26,0,2,1,1589,0,1264.622727,1,1
28,350,5.925,2,0.161466534,Dairy,45.5086,OUT010,15,1,2,0,659,1,1340.311665,0,0
29,244,13.93290191,2,0.072221801,Canned,43.6454,OUT019,28,2,0,0,226,1,1332.243074,0,4
30,1048,19.25,0,0.17034855100000001,Dairy,55.7956,OUT010,15,1,2,0,542,1,1340.311665,0,0
31,1480,18.6,1,0.080829372,Health and Hygiene,96.4436,OUT018,4,1,2,2,1365,2,1218.181979,1,3
32,756,18.7,0,0.06595278,Snack Foods,256.6672,OUT018,4,1,2,2,1581,1,1373.949767,0,3
33,706,17.85,0,0.06595278,Breads,93.1436,OUT045,11,2,1,1,969,1,1329.8970880000002,0,7
34,64,17.5,0,0.097904029,Soft Drinks,174.8738,OUT046,16,2,0,1,902,0,1229.886669,1,8
35,1533,10.0,1,0.08929113699999999,Health and Hygiene,146.7102,OUT049,14,1,0,1,2007,2,1218.181979,1,9
36,1032,20.08910944,2,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,28,1,2,3,1402,1,1400.9239029999999,0,5
37,143,8.85,2,0.113123893,Soft Drinks,122.5388,OUT018,4,1,2,2,525,0,1229.886669,1,3
38,1124,6.12748296,2,0.12311145300000001,Snack Foods,36.9874,OUT027,28,1,2,3,2052,1,1373.949767,0,5
39,214,15.966681900000001,0,0.026480953999999998,Snack Foods,87.6198,OUT027,28,1,2,3,973,1,1373.949767,0,5
40,968,13.35,0,0.102511504,Dairy,230.6352,OUT046,16,2,0,1,1814,1,1340.311665,0,8
41,567,9.8,0,0.02681843,Meat,126.00200000000001,OUT013,26,0,2,1,953,1,1246.6924080000001,1,1
42,180,13.6,0,0.117818348,Snack Foods,192.9136,OUT049,14,1,0,1,1218,1,1373.949767,0,9
43,236,21.35,0,0.06910283099999999,Canned,259.9278,OUT018,4,1,2,2,3083,1,1332.243074,0,3
44,611,12.15,2,0.042277867000000004,Canned,126.5046,OUT013,26,0,2,1,1975,1,1332.243074,0,1
45,641,6.42,0,0.08949892599999999,Dairy,178.1002,OUT010,15,1,2,0,1896,1,1340.311665,0,0
46,1438,19.6,1,0.06595278,Health and Hygiene,153.3024,OUT045,11,2,1,1,1150,2,1218.181979,1,7
47,1057,10.0,0,0.025879577,Canned,265.2226,OUT045,11,2,1,1,2850,1,1332.243074,0,7
48,586,15.85,2,0.121632721,Baking Goods,60.622,OUT046,16,2,0,1,1256,1,1165.308787,1,8
49,869,10.03119577,2,0.25539489600000004,Dairy,196.8794,OUT019,28,2,0,0,3259,1,1340.311665,0,4
50,1378,7.39,1,0.067779712,Health and Hygiene,143.8812,OUT046,16,2,0,1,1623,2,1218.181979,1,8
51,642,10.195,0,0.159803853,Frozen Foods,141.5154,OUT013,26,0,2,1,3345,1,1280.318926,1,1
52,830,9.895,2,0.028696932,Canned,117.0492,OUT013,26,0,2,1,3298,1,1332.243074,0,1
53,177,10.895,0,0.065041581,Fruits and Vegetables,196.3794,OUT017,6,2,1,1,1616,1,1400.9239029999999,0,2
54,1442,12.15,1,0.028760012999999997,Household,151.4708,OUT017,6,2,1,1,2487,2,1327.838316,0,2
55,553,7.905,0,0.010053105,Snack Foods,249.0408,OUT018,4,1,2,2,2973,1,1373.949767,0,3
56,1538,9.195,1,0.048157338,Household,106.1622,OUT045,11,2,1,1,931,2,1327.838316,0,7
57,107,8.365,0,0.071958197,Hard Drinks,38.0506,OUT049,14,1,0,1,3283,0,1264.622727,1,9
58,1183,15.1,0,0.17348130399999998,Snack Foods,194.511,OUT046,16,2,0,1,2532,1,1373.949767,0,8
59,485,6.12748296,0,0.061082177,Canned,180.0344,OUT019,28,2,0,0,3387,1,1332.243074,0,4
60,629,10.0,0,0.06595278,Fruits and Vegetables,246.9144,OUT018,4,1,2,2,1655,1,1400.9239029999999,0,3
61,1039,7.97,2,0.040071131,Meat,87.3514,OUT045,11,2,1,1,62,1,1246.6924080000001,1,7
62,361,6.12748296,0,0.012090074,Fruits and Vegetables,38.2848,OUT027,28,1,2,3,2499,1,1400.9239029999999,0,5
63,1199,15.966681900000001,2,0.15028599,Frozen Foods,51.0692,OUT019,28,2,0,0,410,1,1280.318926,1,4
64,1202,18.05858931,0,0.026015518999999997,Snack Foods,255.8356,OUT027,28,1,2,3,1232,1,1373.949767,0,5
65,266,17.7,0,0.195068226,Snack Foods,185.4266,OUT010,15,2,2,0,704,1,1373.949767,0,0
66,441,19.35,0,0.033082215,Meat,172.5738,OUT035,9,2,1,1,2512,1,1246.6924080000001,1,6
67,1218,13.65,2,0.078946455,Dairy,186.024,OUT045,11,2,1,1,109,1,1340.311665,0,7
68,72,17.6,0,0.041700756,Soft Drinks,164.8526,OUT045,11,2,1,1,1061,0,1229.886669,1,7
69,1343,8.645,1,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,16,2,0,1,859,2,1218.181979,1,8
70,541,15.6,2,0.10529607199999999,Snack Foods,170.1764,OUT046,16,2,0,1,1814,1,1373.949767,0,8
71,586,15.85,2,0.121531501,Baking Goods,59.222,OUT013,26,0,2,1,2902,1,1165.308787,1,1
72,453,18.25,0,0.06595278,Starchy Foods,164.7526,OUT045,11,2,1,1,2404,1,1306.324351,0,7
73,394,7.855,0,0.011324862,Canned,189.6188,OUT017,6,2,1,1,1049,1,1332.243074,0,2
74,1552,7.825,1,0.186357148,Household,254.3698,OUT049,14,1,0,1,2776,2,1327.838316,0,9
75,254,8.39,2,0.024205661,Frozen Foods,114.0176,OUT046,16,2,0,1,1053,1,1280.318926,1,8
76,781,12.85,0,0.033230816,Snack Foods,172.3422,OUT049,14,1,0,1,190,1,1373.949767,0,9
77,682,13.93290191,0,0.113720344,Baking Goods,89.9804,OUT019,28,2,0,0,3015,1,1165.308787,1,4
78,582,19.0,0,0.11255650699999999,Frozen Foods,104.9622,OUT017,6,2,1,1,506,1,1280.318926,1,2
79,1037,5.905,0,0.06595278,Canned,222.5456,OUT045,11,2,1,1,2680,1,1332.243074,0,7
80,316,7.76,0,0.05935224099999999,Snack Foods,101.87,OUT046,16,2,0,1,595,1,1373.949767,0,8
81,656,11.8,2,0.014087057,Frozen Foods,180.3344,OUT046,16,2,0,1,376,1,1280.318926,1,8
82,1053,16.75,0,0.045230944,Snack Foods,187.9556,OUT018,4,1,2,2,2437,1,1373.949767,0,3
83,1379,18.05858931,1,0.293417759,Household,194.6136,OUT019,28,2,0,0,2853,2,1327.838316,0,4
84,829,12.07038502,2,0.031382044,Baking Goods,171.3764,OUT027,28,1,2,3,1596,1,1165.308787,1,5
85,404,15.5,2,0.12639886,Fruits and Vegetables,177.0028,OUT017,6,2,1,1,1189,1,1400.9239029999999,0,2
86,1258,6.055,0,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,9,2,1,1,1350,1,1400.9239029999999,0,6
87,811,20.08910944,2,0.039057677,Breakfast,155.963,OUT027,28,1,2,3,1722,1,1248.919095,1,5
88,674,6.305,2,0.123115764,Snack Foods,95.6436,OUT046,16,2,0,1,3051,1,1373.949767,0,8
89,670,20.85,0,0.039624006,Meat,117.2808,OUT049,14,1,0,1,451,1,1246.6924080000001,1,9
90,1082,20.75,0,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,15,1,2,0,1950,1,1400.9239029999999,0,0
91,57,8.895,0,0.10527411099999999,Dairy,39.9138,OUT049,14,1,0,1,3110,0,1340.311665,0,9
92,82,19.6,0,0.033970195,Soft Drinks,55.1614,OUT045,11,1,1,1,343,0,1229.886669,1,7
93,178,19.7,0,0.053212652,Fruits and Vegetables,57.893,OUT035,9,2,1,1,2965,1,1400.9239029999999,0,6
94,1468,9.8,1,0.024378706,Health and Hygiene,114.5492,OUT035,9,2,1,1,250,2,1218.181979,1,6
95,970,8.151798319,0,0.009714595,Frozen Foods,120.0414,OUT019,28,2,0,0,2515,1,1280.318926,1,4
96,382,12.15,0,0.131383762,Frozen Foods,246.046,OUT049,14,1,0,1,213,1,1280.318926,1,9
97,231,8.75,2,0.07461309,Fruits and Vegetables,187.4556,OUT035,9,2,1,1,1988,1,1400.9239029999999,0,6
98,1442,12.07038502,1,0.028459761,Household,149.9708,OUT027,28,1,2,3,2283,2,1327.838316,0,5
99,231,8.75,2,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,16,2,0,1,289,1,1400.9239029999999,0,8
100,940,13.3,0,0.063695084,Frozen Foods,151.0708,OUT045,11,2,1,1,676,1,1280.318926,1,7
101,284,20.08910944,2,0.045797829000000005,Snack Foods,178.5344,OUT027,28,1,2,3,1441,1,1373.949767,0,5
102,1113,8.31,2,0.11585722300000001,Snack Foods,179.1028,OUT049,14,1,0,1,2058,1,1373.949767,0,9
103,7,16.75,2,0.024832806000000002,Soft Drinks,38.7822,OUT013,26,0,2,1,3065,0,1229.886669,1,1
104,737,19.75,0,0.034027909,Snack Foods,212.0902,OUT018,4,1,2,2,1656,1,1373.949767,0,3
105,438,17.1,2,0.046769599999999995,Canned,141.1838,OUT013,26,0,2,1,1019,1,1332.243074,0,1
106,181,10.5,2,0.11657670199999999,Baking Goods,163.121,OUT013,26,0,2,1,669,1,1165.308787,1,1
107,400,6.635,2,0.06595278,Baking Goods,121.3098,OUT045,11,2,1,1,1224,1,1165.308787,1,7
108,36,10.03119577,0,0.278974075,Soft Drinks,225.372,OUT019,28,2,0,0,3088,0,1229.886669,1,4
109,111,14.15,0,0.035913805,Soft Drinks,41.4138,OUT013,26,0,2,1,3300,0,1229.886669,1,1
110,279,13.3,0,0.079806266,Dairy,232.53,OUT046,16,2,0,1,3125,1,1340.311665,0,8
111,910,8.89,0,0.005505481,Frozen Foods,102.4016,OUT017,6,2,1,1,1359,1,1280.318926,1,2
112,1099,6.12748296,2,0.064625342,Meat,176.937,OUT019,28,2,0,0,642,1,1246.6924080000001,1,4
113,1144,6.12748296,0,0.071636937,Snack Foods,121.7098,OUT027,28,1,2,3,2157,1,1373.949767,0,5
114,1025,9.1,2,0.06595278,Breads,173.2054,OUT045,11,2,1,1,1635,1,1329.8970880000002,0,7
115,288,7.5,0,0.032677677999999995,Frozen Foods,239.0906,OUT049,14,1,0,1,2889,1,1280.318926,1,9
116,1228,16.85,2,0.160760054,Frozen Foods,192.4478,OUT017,6,2,1,1,2500,1,1280.318926,1,2
117,1251,7.485,0,0.06911065,Snack Foods,109.0228,OUT035,9,2,1,1,1231,1,1373.949767,0,6
118,0,11.6,0,0.041177505,Soft Drinks,140.3154,OUT017,6,2,1,1,1240,0,1229.886669,1,2
119,1213,11.65,0,0.040081193,Snack Foods,227.0694,OUT018,4,1,2,2,130,1,1373.949767,0,3
120,1317,13.0,1,0.035307322,Household,47.5034,OUT017,6,2,1,1,3091,2,1327.838316,0,2
121,91,12.65,0,0.063017847,Soft Drinks,159.0578,OUT045,11,2,1,1,903,0,1229.886669,1,7
122,200,20.25,2,0.171938781,Canned,92.512,OUT010,15,1,2,0,721,1,1332.243074,0,0
123,528,8.6,2,0.040197932,Canned,190.153,OUT035,9,2,1,1,1563,1,1332.243074,0,6
124,1075,12.6,0,0.049058014000000004,Breads,62.7194,OUT017,6,2,1,1,3359,1,1329.8970880000002,0,2
125,605,17.7,0,0.01161096,Frozen Foods,95.041,OUT035,9,2,1,1,3360,1,1280.318926,1,6
126,86,14.15,0,0.183507295,Soft Drinks,82.4276,OUT046,16,2,0,1,125,0,1229.886669,1,8
127,1048,19.25,0,0.102349519,Dairy,52.7956,OUT017,6,2,1,1,3422,1,1340.311665,0,2
128,55,8.88,0,0.08670898699999999,Hard Drinks,151.7682,OUT013,26,0,2,1,3234,0,1264.622727,1,1
129,1444,20.5,1,0.032835147,Household,40.2822,OUT045,11,2,1,1,3136,2,1327.838316,0,7
130,1186,12.07038502,0,0.033809913,Canned,180.5976,OUT027,28,1,2,3,3284,1,1332.243074,0,5
131,1340,13.5,1,0.07266912,Household,160.292,OUT046,16,2,0,1,384,2,1327.838316,0,8
132,1476,12.07038502,1,0.144338493,Health and Hygiene,224.4404,OUT027,28,1,2,3,3124,2,1218.181979,1,5
133,910,8.89,0,0.009163216,Frozen Foods,101.7016,OUT010,15,1,2,0,7,1,1280.318926,1,0
134,394,7.855,0,0.011307038,Canned,188.5188,OUT018,4,1,2,2,3447,1,1332.243074,0,3
135,1428,7.235,1,0.076855628,Household,116.0492,OUT046,16,2,0,1,808,2,1327.838316,0,8
136,453,18.05858931,0,0.059956876,Starchy Foods,165.4526,OUT027,28,1,2,3,2658,1,1306.324351,0,5
137,228,6.92,0,0.038532062,Dairy,60.5852,OUT045,11,2,1,1,289,1,1340.311665,0,7
138,1152,9.3,0,0.043209581,Fruits and Vegetables,90.8172,OUT017,6,2,1,1,2698,1,1400.9239029999999,0,2
139,1407,18.5,1,0.056816465,Others,132.1284,OUT010,15,1,2,0,1292,2,1162.562891,1,0
140,1289,8.02,1,0.019866705,Household,154.5972,OUT035,9,2,1,1,357,2,1327.838316,0,6
141,1538,9.195,1,0.048331717,Household,105.1622,OUT017,6,2,1,1,591,2,1327.838316,0,2
142,1436,12.8,1,0.091221855,Others,105.5938,OUT045,11,2,1,1,948,2,1162.562891,1,7
143,1288,16.6,1,0.027622076000000002,Household,177.6344,OUT049,14,1,0,1,1321,2,1327.838316,0,9
144,479,14.0,2,0.06595278,Frozen Foods,53.06399999999999,OUT035,9,2,1,1,3399,1,1280.318926,1,6
145,743,18.6,0,0.039355947,Frozen Foods,246.3802,OUT049,14,1,0,1,3193,1,1280.318926,1,9
146,198,16.0,0,0.060836524,Starchy Foods,226.8404,OUT035,9,2,1,1,2981,1,1306.324351,0,6
147,1274,17.6,1,0.082316506,Health and Hygiene,160.692,OUT035,9,2,1,1,513,2,1218.181979,1,6
148,179,21.25,0,0.155350299,Snack Foods,178.237,OUT035,9,2,1,1,2671,1,1373.949767,0,6
149,1428,7.235,1,0.076841095,Household,117.5492,OUT035,9,2,1,1,808,2,1327.838316,0,6
150,94,14.6,0,0.151419185,Soft Drinks,50.3692,OUT017,6,2,1,1,35,0,1229.886669,1,2
151,843,13.85,2,0.026001976,Frozen Foods,161.52100000000002,OUT018,4,1,2,2,669,1,1280.318926,1,3
152,470,13.65,2,0.073209447,Frozen Foods,197.6426,OUT018,4,1,2,2,1381,1,1280.318926,1,3
153,104,10.03119577,0,0.041683481,Soft Drinks,31.29,OUT027,28,1,2,3,3393,0,1229.886669,1,5
154,1132,7.365,0,0.042560252,Fruits and Vegetables,226.172,OUT046,16,2,0,1,1645,1,1400.9239029999999,0,8
155,1344,18.35,1,0.014081156000000001,Household,223.5746,OUT018,4,1,2,2,1901,2,1327.838316,0,3
156,216,5.465,2,0.06595278,Baking Goods,132.5626,OUT018,4,1,2,2,1284,1,1165.308787,1,3
157,661,18.6,0,0.152918384,Breakfast,99.8358,OUT017,6,2,1,1,760,1,1248.919095,1,2
158,20,13.85,0,0.030969273999999998,Soft Drinks,140.9154,OUT017,6,2,1,1,597,0,1229.886669,1,2
159,797,14.0,2,0.06037677599999999,Frozen Foods,154.5656,OUT013,26,0,2,1,1184,1,1280.318926,1,1
160,631,14.0,2,0.04192285,Snack Foods,54.763999999999996,OUT013,26,0,2,1,304,1,1373.949767,0,1
161,824,20.08910944,0,0.077367431,Fruits and Vegetables,97.0094,OUT027,28,1,2,3,679,1,1400.9239029999999,0,5
162,1037,5.905,0,0.045838211,Canned,222.5456,OUT018,4,1,2,2,1741,1,1332.243074,0,3
163,47,7.27,0,0.071077939,Soft Drinks,114.2518,OUT046,16,2,0,1,1282,0,1229.886669,1,8
164,1109,6.155,2,0.09465987099999999,Meat,214.55599999999998,OUT046,16,2,0,1,1382,1,1246.6924080000001,1,8
165,113,19.5,2,0.077608838,Soft Drinks,233.4958,OUT017,6,2,1,1,2708,0,1229.886669,1,2
166,750,15.2,0,0.021327477,Canned,216.8824,OUT017,6,2,1,1,1428,1,1332.243074,0,2
167,611,12.15,2,0.042485444000000004,Canned,125.0046,OUT018,4,1,2,2,628,1,1332.243074,0,3
168,1278,13.93290191,1,0.025578526,Household,198.8084,OUT027,28,1,2,3,2769,2,1327.838316,0,5
169,1075,12.6,0,0.048980800000000005,Breads,61.9194,OUT018,4,1,2,2,2955,1,1329.8970880000002,0,3
170,1401,14.5,1,0.019471688,Others,164.821,OUT035,9,2,1,1,933,2,1162.562891,1,6
171,568,16.6,0,0.122918852,Fruits and Vegetables,173.0738,OUT017,6,2,1,1,2022,1,1400.9239029999999,0,2
172,627,11.8,2,0.057373797000000004,Meat,151.4366,OUT013,26,0,2,1,328,1,1246.6924080000001,1,1
173,892,13.1,2,0.044155597000000005,Fruits and Vegetables,178.8318,OUT013,26,0,2,1,2097,1,1400.9239029999999,0,1
174,488,17.7,0,0.291865402,Fruits and Vegetables,115.1834,OUT010,15,1,2,0,1821,1,1400.9239029999999,0,0
175,857,17.85,0,0.06595278,Breads,196.5794,OUT010,15,1,2,0,2858,1,1329.8970880000002,0,0
176,215,12.3,2,0.064750025,Starchy Foods,92.6804,OUT045,11,2,1,1,9,1,1306.324351,0,7
177,1499,11.8,1,0.098312421,Health and Hygiene,81.4618,OUT010,15,1,2,0,526,2,1218.181979,1,0
178,142,10.03119577,2,0.191013663,Soft Drinks,42.1112,OUT019,28,2,0,0,2206,0,1229.886669,1,4
179,707,11.1,0,0.176573035,Baking Goods,157.4604,OUT045,11,2,1,1,1547,1,1165.308787,1,7
180,797,13.93290191,2,0.060134441,Frozen Foods,153.0656,OUT027,28,1,2,3,2914,1,1280.318926,1,5
181,1049,11.3,0,0.0072946519999999996,Meat,198.1426,OUT045,11,2,1,1,3483,1,1246.6924080000001,1,7
182,1426,10.03119577,1,0.128478462,Health and Hygiene,117.944,OUT019,28,2,0,0,1121,2,1218.181979,1,4
183,1008,5.75,2,0.075107656,Dairy,112.8176,OUT013,26,0,2,1,337,1,1340.311665,0,1
184,926,6.12748296,2,0.049381405999999996,Baking Goods,226.8062,OUT027,28,1,2,3,2455,1,1165.308787,1,5
185,578,11.35,2,0.045165795999999994,Snack Foods,100.0016,OUT018,4,1,2,2,11,1,1373.949767,0,3
186,694,12.07038502,2,0.09415375,Fruits and Vegetables,165.7526,OUT019,28,2,0,0,3043,1,1400.9239029999999,0,4
187,1523,14.0,1,0.028907832,Health and Hygiene,130.431,OUT049,14,1,0,1,3257,2,1218.181979,1,9
188,319,19.75,2,0.018059621,Frozen Foods,179.766,OUT045,11,2,1,1,1085,1,1280.318926,1,7
189,1277,6.525,1,0.09043609400000001,Household,85.0882,OUT049,14,1,0,1,1009,2,1327.838316,0,9
190,1029,10.3,0,0.146399712,Meat,103.9648,OUT049,14,1,0,1,565,1,1246.6924080000001,1,9
191,616,5.78,2,0.07426435599999999,Snack Foods,264.7568,OUT049,14,1,0,1,2458,1,1373.949767,0,9
192,150,11.85,2,0.050186725999999994,Fruits and Vegetables,164.1526,OUT045,11,2,1,1,1618,1,1400.9239029999999,0,7
193,951,16.35,0,0.020631654,Fruits and Vegetables,50.1324,OUT018,4,1,2,2,2427,1,1400.9239029999999,0,3
194,1530,18.05858931,1,0.01561108,Household,182.5976,OUT027,28,1,2,3,2595,2,1327.838316,0,5
195,932,10.5,0,0.041395445,Fruits and Vegetables,37.6164,OUT046,16,2,0,1,2717,1,1400.9239029999999,0,8
196,221,19.0,2,0.097313129,Frozen Foods,48.0718,OUT046,16,2,0,1,3488,1,1280.318926,1,8
197,1420,14.6,1,0.059582996,Others,238.8538,OUT049,14,1,0,1,2908,2,1162.562891,1,9
198,343,15.966681900000001,2,0.09866365199999999,Dairy,62.9194,OUT027,28,1,2,3,922,1,1340.311665,0,5
199,1157,6.12748296,2,0.101338651,Canned,232.63,OUT027,28,1,2,3,2704,1,1332.243074,0,5
200,1402,18.75,1,0.052146455999999994,Health and Hygiene,104.62799999999999,OUT045,11,2,1,1,3203,2,1218.181979,1,7
201,340,5.26,2,0.041764487,Baking Goods,161.8868,OUT035,9,2,1,1,1712,1,1165.308787,1,6
202,688,18.25,0,0.054344185999999996,Snack Foods,140.2154,OUT045,11,2,1,1,597,1,1373.949767,0,7
203,484,10.03119577,0,0.07836248400000001,Baking Goods,177.937,OUT027,28,1,2,3,3071,1,1165.308787,1,5
204,480,15.1,0,0.052339069,Meat,242.7512,OUT046,16,2,0,1,2169,1,1246.6924080000001,1,8
205,371,15.5,2,0.042464962,Baking Goods,81.5934,OUT010,15,1,2,0,1708,1,1165.308787,1,0
206,424,13.65,0,0.06573288299999999,Frozen Foods,45.7402,OUT049,14,1,0,1,3260,1,1280.318926,1,9
207,44,16.1,0,0.023625114,Soft Drinks,189.3846,OUT045,11,2,1,1,1924,0,1229.886669,1,7
208,903,6.12748296,2,0.051643608,Snack Foods,107.3622,OUT019,28,2,0,0,1646,1,1373.949767,0,4
209,1150,12.85,0,0.165694219,Frozen Foods,39.7164,OUT010,15,1,2,0,1065,1,1280.318926,1,0
210,104,9.5,0,0.041878397000000005,Soft Drinks,32.99,OUT035,9,2,1,1,301,0,1229.886669,1,6
211,13,13.8,0,0.058091482,Dairy,245.1802,OUT035,9,2,1,1,2798,0,1340.311665,0,6
212,616,5.78,2,0.06595278,Snack Foods,263.7568,OUT017,6,2,1,1,1295,1,1373.949767,0,2
213,1298,19.7,1,0.026903714,Household,96.0726,OUT045,11,2,1,1,249,2,1327.838316,0,7
214,1558,14.65,1,0.06595278,Household,161.5552,OUT010,15,1,2,0,1689,2,1327.838316,0,0
215,323,6.67,2,0.150554711,Snack Foods,130.0626,OUT010,15,1,2,0,282,1,1373.949767,0,0
216,854,6.11,2,0.06595278,Fruits and Vegetables,131.2968,OUT010,15,1,2,0,1272,1,1400.9239029999999,0,0
217,753,13.65,2,0.13497562800000001,Frozen Foods,260.0936,OUT010,15,1,2,0,1272,1,1280.318926,1,0
218,1129,17.2,0,0.15616879,Meat,160.6578,OUT013,26,0,2,1,1951,1,1246.6924080000001,1,1
219,175,6.32,0,0.06595278,Meat,40.2822,OUT035,9,2,1,1,127,1,1246.6924080000001,1,6
220,1185,4.88,2,0.133700752,Baking Goods,52.9298,OUT049,14,1,0,1,831,1,1165.308787,1,9
221,277,5.425,2,0.115119905,Baking Goods,88.3514,OUT017,6,2,1,1,370,1,1165.308787,1,2
222,448,15.85,2,0.11003099699999999,Frozen Foods,37.2506,OUT046,16,2,0,1,1307,1,1280.318926,1,8
223,937,7.5,0,0.051038045,Canned,121.7072,OUT017,6,2,1,1,1876,1,1332.243074,0,2
224,91,12.65,0,0.062837968,Soft Drinks,161.5578,OUT013,26,0,2,1,1134,0,1229.886669,1,1
225,1424,8.151798319,1,0.017116983,Others,211.956,OUT019,28,2,0,0,938,2,1162.562891,1,4
226,1082,20.75,0,0.024129332000000003,Fruits and Vegetables,124.17299999999999,OUT013,26,0,2,1,1513,1,1400.9239029999999,0,1
227,43,8.151798319,0,0.049754975,Dairy,152.134,OUT019,28,2,0,0,457,0,1340.311665,0,4
228,907,9.0,0,0.06595278,Canned,79.7644,OUT035,9,2,1,1,553,1,1332.243074,0,6
229,1137,15.966681900000001,0,0.101561568,Canned,181.9292,OUT027,28,1,2,3,1602,1,1332.243074,0,5
230,1536,6.12748296,1,0.0059496440000000005,Household,165.6526,OUT027,28,1,2,3,2468,2,1327.838316,0,5
231,413,6.12748296,2,0.13956116,Seafood,170.4764,OUT027,28,1,2,3,1814,1,1672.6766220000002,0,5
232,614,14.1,0,0.126035694,Fruits and Vegetables,86.4198,OUT045,11,2,1,1,122,1,1400.9239029999999,0,7
233,365,7.55,0,0.027164679,Canned,152.334,OUT035,9,2,1,1,1274,1,1332.243074,0,6
234,1294,13.0,1,0.099325278,Household,45.406000000000006,OUT046,16,2,0,1,2924,2,1327.838316,0,8
235,126,10.03119577,0,0.04357366,Hard Drinks,192.8846,OUT027,28,1,2,3,1056,0,1264.622727,1,5
236,904,18.05858931,2,0.082741482,Snack Foods,118.7782,OUT019,28,2,0,0,175,1,1373.949767,0,4
237,215,12.3,2,0.064565202,Starchy Foods,92.9804,OUT013,26,0,2,1,774,1,1306.324351,0,1
